,zip,Filers,Itemizers,AGI,pre-tcja-tax,current-law-tax
47,10303,1210,900,130630.0885,20270.8,19880.1
48,10304,2290,1130,136630.4762,21033.64,21199.32
49,10305,3010,2100,135844.8905,21650.29,21406.45
50,10306,5240,2740,138243.1866,22058.4,21865.84
51,10307,1490,4770,140509.8592,21770.65,21996.86
52,10308,3080,1420,139491.844,22242.17,22139.21
53,10309,3480,2820,141077.9817,22055.92,22221.35
54,10310,1830,3270,139701.1905,22310.38,22128.89
55,10312,6890,1680,138952.0701,22001.27,21932.49
56,10314,7880,6280,138407.0028,22022.37,21822.44
57,10451,700,7140,125201.6667,20381.51,19538.88
58,10452,500,600,124275.6098,18673.2,18388.08
59,10453,560,410,128595.8333,19832.64,19502.19
60,10454,230,480,150804.7619,25684.23,24904.29
61,10455,270,210,139363.6364,23423.59,22492.77
62,10456,520,220,124133.3333,19432.62,18853.29
63,10457,460,450,123402.5641,18755.8,18522.12
64,10458,760,390,126375.8065,19579.2,19357.31
65,10459,350,620,133553.125,21302.47,20827.05
66,10460,480,320,127764.2857,19759.42,19384.93
67,10461,2530,420,132262.6168,20531.79,20550.85
